unique_id,ds,y
159156,2013-01-02,245.751
159156,2013-01-03,198.578
159156,2013-01-04,211.843
159156,2013-01-05,209.376
159156,2013-01-06,291.602
159156,2013-01-07,109.097
159156,2013-01-08,90.534
159156,2013-01-09,49.846
159156,2013-01-10,34.341
159156,2013-01-11,127.326
159156,2013-01-12,130.627
159156,2013-01-13,171.907
159156,2013-01-14,145.538
159156,2013-01-15,61.158
159156,2013-01-16,69.903
159156,2013-01-17,71.319
159156,2013-01-18,308.867
159156,2013-01-19,122.183
159156,2013-01-20,140.247
159156,2013-01-21,73.168
159156,2013-01-22,76.552
159156,2013-01-23,89.197
159156,2013-01-24,48.978
159156,2013-01-25,379.677
159156,2013-01-26,114.713
159156,2013-01-27,139.738
159156,2013-01-28,71.312
159156,2013-01-29,46.903
159156,2013-01-30,42.014
159156,2013-01-31,40.581
159156,2013-02-01,438.118
159156,2013-02-02,148.204
159156,2013-02-03,218.91
159156,2013-02-04,111.323
159156,2013-02-05,55.724
159156,2013-02-06,118.236
159156,2013-02-07,53.522
159156,2013-02-08,347.731
159156,2013-02-09,137.852
159156,2013-02-10,122.747
159156,2013-02-11,115.993
159156,2013-02-12,82.98
159156,2013-02-13,58.811
159156,2013-02-14,87.246
159156,2013-02-15,375.848
159156,2013-02-16,139.152
159156,2013-02-17,173.724
159156,2013-02-18,92.976
159156,2013-02-19,37.923
159156,2013-02-20,89.461
159156,2013-02-21,59.034
159156,2013-02-22,311.135
159156,2013-02-23,169.542
159156,2013-02-24,154.939
159156,2013-02-25,68.502
159156,2013-02-26,54.485
159156,2013-02-27,65.397
159156,2013-02-28,48.232
159156,2013-03-01,320.444
159156,2013-03-02,164.0
159156,2013-03-03,183.0
159156,2013-03-04,106.236
159156,2013-03-05,74.926
159156,2013-03-06,73.579
159156,2013-03-07,60.687
159156,2013-03-08,315.588
159156,2013-03-09,138.025
159156,2013-03-10,106.549
159156,2013-03-11,49.912
159156,2013-03-12,35.152
159156,2013-03-13,103.283
159156,2013-03-14,37.69
159156,2013-03-15,299.108
159156,2013-03-16,112.32
159156,2013-03-17,168.778
159156,2013-03-18,25.478
159156,2013-03-19,65.064
159156,2013-03-20,106.788
159156,2013-03-21,41.818
159156,2013-03-22,230.549
159156,2013-03-23,57.401
159156,2013-03-24,115.646
159156,2013-03-25,47.077
159156,2013-03-26,57.912
159156,2013-03-27,58.889
159156,2013-03-28,48.508
159156,2013-03-29,270.902
159156,2013-03-30,87.239
159156,2013-03-31,110.71
159156,2013-04-01,110.478
159156,2013-04-02,79.394
159156,2013-04-03,140.242
159156,2013-04-04,77.572
159156,2013-04-05,321.337
159156,2013-04-06,171.492
159156,2013-04-07,209.269
159156,2013-04-08,94.603
159156,2013-04-09,72.017
159156,2013-04-10,92.172
159156,2013-04-11,49.778
159156,2013-04-12,326.606
159156,2013-04-13,88.562
159156,2013-04-14,97.384
159156,2013-04-15,98.168
159156,2013-04-16,98.758
159156,2013-04-17,72.721
159156,2013-04-18,39.051
159156,2013-04-19,340.347
159156,2013-04-20,136.71
159156,2013-04-21,124.091
159156,2013-04-22,115.643
159156,2013-04-23,82.754
159156,2013-04-24,136.582
159156,2013-04-25,75.199
159156,2013-04-26,317.64
159156,2013-04-27,118.916
159156,2013-04-28,115.0
159156,2013-04-29,59.189
159156,2013-04-30,70.236
159156,2013-05-01,151.916
159156,2013-05-02,50.202
159156,2013-05-03,384.067
159156,2013-05-04,144.232
159156,2013-05-05,186.71
159156,2013-05-06,101.249
159156,2013-05-07,51.054
159156,2013-05-08,169.859
159156,2013-05-09,140.724
159156,2013-05-10,416.525
159156,2013-05-11,98.242
159156,2013-05-12,65.525
159156,2013-05-13,193.411
159156,2013-05-14,184.286
159156,2013-05-15,110.441
159156,2013-05-16,66.842
159156,2013-05-17,375.374
159156,2013-05-18,120.576
159156,2013-05-19,196.104
159156,2013-05-20,100.566
159156,2013-05-21,71.646
159156,2013-05-22,86.438
159156,2013-05-23,43.061
159156,2013-05-24,351.97
159156,2013-05-25,162.145
159156,2013-05-26,141.064
159156,2013-05-27,94.667
159156,2013-05-28,44.071
159156,2013-05-29,66.559
159156,2013-05-30,49.007
159156,2013-05-31,358.788
159156,2013-06-01,167.411
159156,2013-06-02,137.121
159156,2013-06-03,138.882
159156,2013-06-04,48.303
159156,2013-06-05,114.556
159156,2013-06-06,71.714
159156,2013-06-07,370.71
159156,2013-06-08,103.953
159156,2013-06-09,203.061
159156,2013-06-10,102.67
159156,2013-06-11,39.044
159156,2013-06-12,50.643
159156,2013-06-13,36.973
159156,2013-06-14,317.424
159156,2013-06-15,121.805
